Nombre;País;Ciudad;Tipo Alianza;Año;Descripción;Latitud;Longitud;Link Institución;Contacto 1;Contacto 2;Contacto 3;Contacto 4;Contacto 5;;;;;;;;;;;;
Bulgarian Chamber of Commerce and Industry;Bulgaria;Sofia;MoU;2022;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. (falta firma);42.6977;23.3219;https://www.bcci.bg/en.html;g.dimitrova@bcci.bg;m.kazakova@bcci.bg;;;;;;;;;;;;;;;
Cámara de Comercio e Industria de la Federación de Rusia (CCI de Rusia);Rusia;Moscú;MoU;2023;Innovación, social, eliminar barreras, creación de grupos, actividades de formación ;55.7558;37.6173;https://www.linkedin.com/company/the-chamber-of-commerce-and-industry-of-the-russian-federation/;nevestenko@cci.by;;;;;;;;;;;;;;;;
Rawalpindi Chamber of Commerce and Industry (RCCI);Pakistan;Rawalpindi;MoU;2016;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;33.5973;73.0479;https://rcci.org.pk/;info@rcci.org.pk;;;;;;;;;;;;;;;;
Confederation of Indian Industry (CII);India;New Delhi;MoU;2023;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;28.6139;77.2090;https://www.cii.in/;aravind.krishnan@cii.in;;;;;;;;;;;;;;;;
Consejo Mexicano de Comercio Exterior ;Mexico;Ciudad de México;MoU;2020;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;19.4326;-99.1332;https://www.comce.org.mx/;lourdes.arana@comce.org.mx;f.chavez@comce.org.mx;;;;;;;;;;;;;;;
Foreign Economic Relations Board of Turkey (DEIK);Turquia;Ankara;MoU;2021;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;39.9334;32.8597;https://www.deik.org.tr/deik-about-us;ibicer@deik.org.tr;;;;;;;;;;;;;;;;
Georgian Chamber of Commerce and Industry (GCCI);Georgia;Tbilisi;MoU;2021;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;41.7151;44.8271;https://www.gcci.ge/;g.vekua@gcci.ge;;;;;;;;;;;;;;;;
Hong Kong Trade Development Council (“HKTDC”) ;China;Hong Kong;MoU;2020;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;22.3193;114.1694;https://sourcing.hktdc.com/;New.York.Office@hktdc.org;;;;;;;;;;;;;;;;
"lstanbul Chamber of Commerce
(ICOC)";Turquia;Istanbul;MoU;2021;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;41.0082;28.9784;https://www.ito.org.tr/tr;ito@ito.org.tr;;;;;;;;;;;;;;;;
Japan Chamber of Commerce and Industry (JCCI) ;Japon;Tokyo;MoU;2022;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;35.6895;139.6917;https://www.jcci.or.jp/english/about/jcci/index.html;sijiri@tokyo-cci.or.jp;;;;;;;;;;;;;;;;
Johannesburg Chamber of Commerce and Industry (JCCI);South Africa;Johannesburg ;MoU;2022;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;-26.2041;28.0473;https://www.jcci.co.za/;melitta@jcci.co.za;;;;;;;;;;;;;;;;
Latin American Chamber of Commerce (Singapore);Singapore;Ciudad de Singapur;MoU;2020;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;1.3521;103.8198;https://www.latamcham.org/;angela.torres@latamcham.org;felipe.espinosa@latamcham.org;;;;;;;;;;;;;;;
Cámara de Comercio Mercosur-ASEAN;Indonesia;Yakarta;MoU;2021;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;-6.2088;106.8456;https://mercosurasean.com/;mrezzio@mercosurasean.com;;;;;;;;;;;;;;;;
Independent Industrialists' and Businessmen's Association (MUSIAD);Turquia;Istanbul;MoU;2020;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;41.0082;28.9784;https://www.musiad.org.tr/en;zeyd.turgut@musiad.org.tr;fetullah.gundogan@musiad.org.tr;;;;;;;;;;;;;;;
Roscongress Foundation;Rusia;Moscú;MoU;2021;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;55.7558;37.6173;https://roscongress.org/en/;daria.pravdiuk@roscongress.org;;;;;;;;;;;;;;;;
Camara de Comercio Portugal-Atlántico Sur;Portugal;Lisboa;MoU;2022;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;38.7169;-9.1399;https://www.camaraatlanticosul.com;direccion@camaraatlanticosul.com;;;;;;;;;;;;;;;;
qatar chamber of commerce and industry;Qatar;Doha;MoU;2021;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;25.276987;51.5200;https://www.qatarchamber.com/;nora@qcci.org;"sherwet@qcci.org,
info@qcci.org,
abunahia@gcci.org";;;;;;;;;;;;;;;
Confederation of Industry of the Czech Republic (SPCR) ;República Checa;Praga;MoU;2024;Intercambio de Información, promoción de inversión y tecnología, seminarios y programas, ferias, mediación y conciliación. ;50.0755;14.4378;https://www.spcr.cz/en;ijavorova@spcr.cz;mhazer@spcr.cz;;;;;;;;;;;;;;;
